,Unnamed: 0,Mã số, Gây ra, ISO3, Năm, Tình dục, Nhóm tuổi, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
0,0, 1140, Đột quỵ, VNM,2019, BTSX, Mọi lứa tuổi,96500000,159032.4,164.8,3244609.0,3362.29
1,1, 11 giờ 30, Bệnh nhồi máu cơ tim, VNM,2019, BTSX, Mọi lứa tuổi,96500000,91938.89,95.27,1640225.0,1699.72
2,2, 1180, Bệnh phổi tắc nghẽn mãn tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,35874.78,37.18,785772.8,814.27
3,3, 800, Đái tháo đường, VNM,2019, BTSX, Mọi lứa tuổi,96500000,33860.28,35.09,1071672.0,1110.54
4,4, 15:30, Chấn thương đường bộ, VNM,2019, BTSX, Mọi lứa tuổi,96500000,29475.28,30.54,1516380.0,1571.38
5,5, 950, Bệnh Alzheimer và các bệnh mất trí nhớ khác, VNM,2019, BTSX, Mọi lứa tuổi,96500000,29306.9,30.37,422006.5,437.31
6,6, 390, Nhiễm trùng hô hấp dưới, VNM,2019, BTSX, Mọi lứa tuổi,96500000,27836.39,28.85,735633.4,762.31
7,7, 1270, Bệnh thận, VNM,2019, BTSX, Mọi lứa tuổi,96500000,25251.38,26.17,627474.4,650.23
8,8, 660, Ung thư gan, VNM,2019, BTSX, Mọi lứa tuổi,96500000,24994.5,25.9,850736.5,881.59
9,9, 12h30, Bệnh xơ gan, VNM,2019, BTSX, Mọi lứa tuổi,96500000,23899.98,24.77,664388.9,688.49
10,10, 680," Khí quản, phế quản, ung thư phổi", VNM,2019, BTSX, Mọi lứa tuổi,96500000,21294.13,22.07,587044.5,608.34
11,11, 1120, Bệnh tim tăng huyết áp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,19879.64,20.6,367457.4,380.78
12,12, 1550, Ngã, VNM,2019, BTSX, Mọi lứa tuổi,96500000,15426.67,15.99,449810.5,466.12
13,13, 640, Ung thư dạ dày, VNM,2019, BTSX, Mọi lứa tuổi,96500000,15133.93,15.68,403297.6,417.92
14,14, 490, Điều kiện sơ sinh, VNM,2019, BTSX, Mọi lứa tuổi,96500000,11494.57,11.91,1243880.0,1288.99
15,15, 30, bệnh lao, VNM,2019, BTSX, Mọi lứa tuổi,96500000,9445.77,9.79,507134.5,525.53
16,16, 650, Ung thư ruột kết và trực tràng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,8258.19,8.56,220052.0,228.03
17,17, 1190, Hen suyễn, VNM,2019, BTSX, Mọi lứa tuổi,96500000,8149.98,8.45,265280.6,274.9
18,18, 1610, Tự làm hại bản thân, VNM,2019, BTSX, Mọi lứa tuổi,96500000,7249.09,7.51,308421.4,319.61
19,19, 620, Ung thư miệng và vòm họng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,7088.01,7.35,218113.7,226.02
20,20, 1400, Dị tật bẩm sinh, VNM,2019, BTSX, Mọi lứa tuổi,96500000,7063.72,7.32,691009.9,716.07
21,21, 700,Ung thư vú, VNM,2019, BTSX, Mọi lứa tuổi,96500000,6187.2,6.41,221680.2,229.72
22,22, 1150," Bệnh cơ tim, viêm cơ tim, viêm nội tâm mạc", VNM,2019, BTSX, Mọi lứa tuổi,96500000,5356.54,5.55,125262.0,129.81
23,23, 960, bệnh Parkinson, VNM,2019, BTSX, Mọi lứa tuổi,96500000,5338.24,5.53,85518.19,88.62
24,24, 1570, Đuối nước, VNM,2019, BTSX, Mọi lứa tuổi,96500000,5097.18,5.28,266452.2,276.12
25,25, 100, HIV/AIDS, VNM,2019, BTSX, Mọi lứa tuổi,96500000,4992.62,5.17,259675.6,269.09
26,26, 770, Bệnh bạch cầu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,4899.01,5.08,233084.0,241.54
27,27, 110, Bệnh tiêu chảy, VNM,2019, BTSX, Mọi lứa tuổi,96500000,4389.59,4.55,308644.7,319.84
28,28, 751, Ung thư não và hệ thần kinh, VNM,2019, BTSX, Mọi lứa tuổi,96500000,3157.64,3.27,139983.5,145.06
29,29, 760," U lympho, đa u tủy", VNM,2019, BTSX, Mọi lứa tuổi,96500000,2964.49,3.07,100919.6,104.58
30,30, 1242, Liệt ruột và tắc ruột, VNM,2019, BTSX, Mọi lứa tuổi,96500000,2471.57,2.56,64421.89,66.76
31,31, 710, Ung thư tử cung cổ tử cung, VNM,2019, BTSX, Mọi lứa tuổi,96500000,2391.29,2.48,75844.68,78.6
32,32, 630, Ung thư thực quản, VNM,2019, BTSX, Mọi lứa tuổi,96500000,2264.7,2.35,67300.6,69.74
33,33, 1246, Bệnh túi mật và đường mật, VNM,2019, BTSX, Mọi lứa tuổi,96500000,2079.75,2.16,61385.69,63.61
34,34, 740, Ung thư tuyến tiền liệt, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1911.48,1.98,54627.25,56.61
35,35, 1575, Tiếp xúc với lực cơ học, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1868.19,1.94,151683.8,157.19
36,36, 1620, Bạo lực giữa các cá nhân, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1785.26,1.85,150856.3,156.33
37,37, 150, Bệnh sởi, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1779.95,1.84,154974.1,160.59
38,38, 1110, Huyết áp thấp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1708.19,1.77,44503.67,46.12
39,39, 180, Viêm não, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1558.42,1.61,68538.81,71.02
