,Mã số, Gây ra, ISO3, Năm, Tình dục, Nhóm tuổi, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
0,1140, Đột quỵ, VNM,2016, BTSX, Mọi lứa tuổi,93600000,157603.2,168.38,3157525,3373.42
1, 11 giờ 30, Bệnh nhồi máu cơ tim, VNM,2016, BTSX, Mọi lứa tuổi,93600000,83170.36,88.86,1476156,1577.09
2,1180, Bệnh phổi tắc nghẽn mãn tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,34266.72,36.61,725890.1,775.52
3,800, Đái tháo đường, VNM,2016, BTSX, Mọi lứa tuổi,93600000,30434.93,32.52,943415.7,1007.92
4,390, Nhiễm trùng hô hấp dưới, VNM,2016, BTSX, Mọi lứa tuổi,93600000,27500.74,29.38,769989.5,822.64
5,950, Bệnh Alzheimer và các bệnh mất trí nhớ khác, VNM,2016, BTSX, Mọi lứa tuổi,93600000,27073.61,28.92,389935.3,416.6
6,660, Ung thư gan, VNM,2016, BTSX, Mọi lứa tuổi,93600000,25485.21,27.23,885261.1,945.79
7, 15:30, Chấn thương đường bộ, VNM,2016, BTSX, Mọi lứa tuổi,93600000,24970,26.68,1340996,1432.69
8,1270, Bệnh thận, VNM,2016, BTSX, Mọi lứa tuổi,93600000,22228.12,23.75,562657.6,601.13
9, 12h30, Bệnh xơ gan, VNM,2016, BTSX, Mọi lứa tuổi,93600000,21700.9,23.18,610312.3,652.04
10,680," Khí quản, phế quản, ung thư phổi", VNM,2016, BTSX, Mọi lứa tuổi,93600000,19001.55,20.3,528621.2,564.77
11,1120, Bệnh tim tăng huyết áp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,18993.97,20.29,348493.4,372.32
12,640, Ung thư dạ dày, VNM,2016, BTSX, Mọi lứa tuổi,93600000,14267.37,15.24,383316.6,409.53
13,1550, Ngã, VNM,2016, BTSX, Mọi lứa tuổi,93600000,14186.97,15.16,417591.8,446.15
14,490, Điều kiện sơ sinh, VNM,2016, BTSX, Mọi lứa tuổi,93600000,12668.7,13.53,1349320,1441.58
15,30, bệnh lao, VNM,2016, BTSX, Mọi lứa tuổi,93600000,12639.77,13.5,662224.6,707.5
16,1190, Hen suyễn, VNM,2016, BTSX, Mọi lứa tuổi,93600000,8220.72,8.78,258483,276.16
17,1400, Dị tật bẩm sinh, VNM,2016, BTSX, Mọi lứa tuổi,93600000,7850.19,8.39,759917.3,811.88
18,650, Ung thư ruột kết và trực tràng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,7331.91,7.83,195691.6,209.07
19,1610, Tự làm hại bản thân, VNM,2016, BTSX, Mọi lứa tuổi,93600000,7204.9,7.7,318968.9,340.78
20,620, Ung thư miệng và vòm họng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,6527.61,6.97,203156,217.05
21,700,Ung thư vú, VNM,2016, BTSX, Mọi lứa tuổi,93600000,5546.78,5.93,199567.5,213.21
22,100, HIV/AIDS, VNM,2016, BTSX, Mọi lứa tuổi,93600000,5384,5.75,292170.7,312.15
23,1570, Đuối nước, VNM,2016, BTSX, Mọi lứa tuổi,93600000,5376.6,5.74,297099.8,317.41
24,1150," Bệnh cơ tim, viêm cơ tim, viêm nội tâm mạc", VNM,2016, BTSX, Mọi lứa tuổi,93600000,5084.09,5.43,122170.5,130.52
25,960, bệnh Parkinson, VNM,2016, BTSX, Mọi lứa tuổi,93600000,5032.32,5.38,79619.86,85.06
26,110, Bệnh tiêu chảy, VNM,2016, BTSX, Mọi lứa tuổi,93600000,4852.54,5.18,333423.4,356.22
27,770, Bệnh bạch cầu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,4809.78,5.14,234832.1,250.89
28,751, Ung thư não và hệ thần kinh, VNM,2016, BTSX, Mọi lứa tuổi,93600000,3010.19,3.22,136585.8,145.92
29,760," U lympho, đa u tủy", VNM,2016, BTSX, Mọi lứa tuổi,93600000,2709.47,2.89,94101.45,100.54
30,1242, Liệt ruột và tắc ruột, VNM,2016, BTSX, Mọi lứa tuổi,93600000,2326.04,2.49,61869.92,66.1
31,710, Ung thư tử cung cổ tử cung, VNM,2016, BTSX, Mọi lứa tuổi,93600000,2284.75,2.44,72682.86,77.65
32,630, Ung thư thực quản, VNM,2016, BTSX, Mọi lứa tuổi,93600000,2096.97,2.24,62962.67,67.27
33,1246, Bệnh túi mật và đường mật, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1958.91,2.09,57707.27,61.65
34,1575, Tiếp xúc với lực cơ học, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1895.82,2.03,151277.8,161.62
35,740, Ung thư tuyến tiền liệt, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1790.36,1.91,51464.38,54.98
36,1110, Huyết áp thấp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1695.19,1.81,44472.93,47.51
37,1620, Bạo lực giữa các cá nhân, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1674.9,1.79,142514.5,152.26
38,180, Viêm não, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1598.35,1.71,75382.36,80.54
39, 13:30, Bệnh ngoài da, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1367.49,1.46,286026.5,305.58
40,870, Rối loạn sử dụng ma túy, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1246.49,1.33,185273.2,197.94
41,745, Ung thư thận, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1216.96,1.3,44110.08,47.13
42,720, Ung thư tử cung, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1071.9,1.15,35459.7,37.88
43,1248, Viêm tụy, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1012.48,1.08,29527.45,31.55
44,1220, Bệnh viêm loét dạ dày, VNM,2016, BTSX, Mọi lứa tuổi,93600000,942.87,1.01,15877.38,16.96
45,1540, Ngộ độc, VNM,2016, BTSX, Mọi lứa tuổi,93600000,844.87,0.9,38786.09,41.44
46,750, Ung thư bàng quang, VNM,2016, BTSX, Mọi lứa tuổi,93600000,821.08,0.88,18040.03,19.27
47,753, Ung thư thanh quản, VNM,2016, BTSX, Mọi lứa tuổi,93600000,811.65,0.87,25794.65,27.56
48,860, Rối loạn sử dụng rượu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,814.1,0.87,191649.3,204.75
49,130,Bịnh ho gà, VNM,2016, BTSX, Mọi lứa tuổi,93600000,818.94,0.87,73619.28,78.65
50,670, Ung thư tuyến tụy, VNM,2016, BTSX, Mọi lứa tuổi,93600000,803.1,0.86,24369.67,26.04
51,420, Điều kiện của mẹ, VNM,2016, BTSX, Mọi lứa tuổi,93600000,794.46,0.85,56724.52,60.6
52,730, Ung thư buồng trứng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,776.35,0.83,28338.87,30.28
53,170, Viêm màng não, VNM,2016, BTSX, Mọi lứa tuổi,93600000,697.84,0.75,42672.76,45.59
54,970, bệnh động kinh, VNM,2016, BTSX, Mọi lứa tuổi,93600000,632.2,0.68,101776.4,108.74
55,320, bệnh dại, VNM,2016, BTSX, Mọi lứa tuổi,93600000,619.69,0.66,28122.91,30.05
56,1560," Lửa, nhiệt và các chất nóng", VNM,2016, BTSX, Mọi lứa tuổi,93600000,599.2,0.64,59911.52,64.01
57,754, Ung thư tuyến giáp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,500.22,0.53,19561.75,20.9
58,690, Khối u ác tính và các bệnh ung thư da khác, VNM,2016, BTSX, Mọi lứa tuổi,93600000,435.18,0.46,12518.54,13.37
59,752, Ung thư túi mật và đường mật, VNM,2016, BTSX, Mọi lứa tuổi,93600000,396,0.42,10930.68,11.68
60,190, Viêm gan B cấp tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,386.88,0.41,16398.06,17.52
61,1505, Hội chứng trẻ sơ sinh chết đột ngột, VNM,2016, BTSX, Mọi lứa tuổi,93600000,346.66,0.37,31043.63,33.17
62,160, Uốn ván, VNM,2016, BTSX, Mọi lứa tuổi,93600000,322.57,0.34,16855.45,18.01
63,755, Ung thư trung biểu mô, VNM,2016, BTSX, Mọi lứa tuổi,93600000,295.62,0.32,9296.34,9.93
64,50, Bịnh giang mai, VNM,2016, BTSX, Mọi lứa tuổi,93600000,293.42,0.31,26232.01,28.03
65,186, Viêm gan A cấp tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,204.35,0.22,8984.45,9.6
66,1240, Viêm ruột thừa, VNM,2016, BTSX, Mọi lứa tuổi,93600000,206.34,0.22,9692.07,10.35
67,1350, Viêm khớp dạng thấp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,202.27,0.22,17924.26,19.15
68,1244, Bệnh viêm ruột, VNM,2016, BTSX, Mọi lứa tuổi,93600000,197.57,0.21,7209.97,7.7
69,811, bệnh thalassemia, VNM,2016, BTSX, Mọi lứa tuổi,93600000,199.85,0.21,46792.61,49.99
70,1580, Thảm họa thiên nhiên, VNM,2016, BTSX, Mọi lứa tuổi,93600000,163.38,0.17,14338.39,15.32
71,300, Sốt xuất huyết, VNM,2016, BTSX, Mọi lứa tuổi,93600000,149.07,0.16,18150.31,19.39
72,550, Suy dinh dưỡng protein-năng lượng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,131.29,0.14,43038.86,45.98
73,980, Bệnh đa xơ cứng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,125.17,0.13,5047.47,5.39
74,1290, sỏi tiết niệu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,111.05,0.12,8129.79,8.69
75,200, Viêm gan C cấp tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,82.7,0.09,2874.05,3.07
76,742, Ung thư tinh hoàn, VNM,2016, BTSX, Mọi lứa tuổi,93600000,69.81,0.07,2191.78,2.34
77,1241, Viêm dạ dày và viêm tá tràng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,59.87,0.06,19802.13,21.16
78,150, Bệnh sởi, VNM,2016, BTSX, Mọi lứa tuổi,93600000,51.04,0.05,4575.31,4.89
79,400,Nhiễm trùng đường hô hấp trên, VNM,2016, BTSX, Mọi lứa tuổi,93600000,34.58,0.04,63053.71,67.37
80, 16 giờ 30, Bạo lực tập thể và sự can thiệp của pháp luật, VNM,2016, BTSX, Mọi lứa tuổi,93600000,37.23,0.04,2341.24,2.5
81,205, Viêm gan E cấp tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,25.65,0.03,1178.58,1.26
82,285, Bệnh giun sán, VNM,2016, BTSX, Mọi lứa tuổi,93600000,16.85,0.02,21367.86,22.83
83,340, Bệnh giun đũa, VNM,2016, BTSX, Mọi lứa tuổi,93600000,10.53,0.01,27910.55,29.82
84,220, Bệnh sốt rét, VNM,2016, BTSX, Mọi lứa tuổi,93600000,7.11,0.01,1440.71,1.54
85,1320, Bệnh phụ khoa, VNM,2016, BTSX, Mọi lứa tuổi,93600000,8.68,0.01,264011.1,282.06
86,1470, Tình trạng răng miệng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,197431.7,210.93
87,1310, Khô khan, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,23543.78,25.15
88,1280, Tăng sản tuyến tiền liệt lành tính, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,28148.25,30.07
89,1360, Viêm xương khớp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,121044.4,129.32
90,1370, Bệnh gout, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,16970.36,18.13
91,1380, Đau lưng và cổ, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,675944.5,722.16
92,990, chứng đau nửa đầu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,380428.2,406.44
93,1000, Đau đầu không đau nửa đầu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,50658.7,54.12
94, 10:30, bệnh tăng nhãn áp, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,11393.54,12.17
95,1040, Đục thủy tinh thể, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,99642.77,106.46
96,1050, Lỗi khúc xạ chưa được điều trị, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,357556.4,382
97,1060, Thoái hóa điểm vàng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,19625.37,20.97
98,1070, Mất thị lực khác, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,261169.2,279.03
99,1080, Mất thính lực khác, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,494245.1,528.04
100,230, Bệnh Trypanosomosis Châu Phi, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
101,240, bệnh Chagas, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
102,140, bệnh bạch hầu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,4.5,0,286.35,0.31
