, Gây ra, Năm, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
0, Đột quỵ,2015,92700000,156461.8,168.78,3119777,3365.46
1, Bệnh nhồi máu cơ tim,2015,92700000,79955.46,86.25,1422402,1534.41
2, Bệnh phổi tắc nghẽn mãn tính,2015,92700000,33450.32,36.08,706146.5,761.75
3, Đái tháo đường,2015,92700000,29034.58,31.32,896187.2,966.76
4, Nhiễm trùng hô hấp dưới,2015,92700000,27164,29.3,775077.5,836.11
5, Bệnh Alzheimer và các bệnh mất trí nhớ khác,2015,92700000,25963.74,28.01,375936.4,405.54
6, Ung thư gan,2015,92700000,25718.88,27.74,898431.9,969.18
7, Chấn thương đường bộ,2015,92700000,23582,25.44,1284261,1385.39
8, Bệnh thận,2015,92700000,21004.59,22.66,538212.1,580.6
9, Bệnh xơ gan,2015,92700000,20759.54,22.39,585762.4,631.89
10, Bệnh tim tăng huyết áp,2015,92700000,18602.96,20.07,341534,368.43
11," Khí quản, phế quản, ung thư phổi",2015,92700000,18309.56,19.75,510648.7,550.86
12, Ung thư dạ dày,2015,92700000,13951.53,15.05,375886.9,405.49
13, bệnh lao,2015,92700000,13908.72,15,723336.6,780.3
14, Ngã,2015,92700000,13611.37,14.68,403223.6,434.98
15, Điều kiện sơ sinh,2015,92700000,12772.15,13.78,1358253,1465.21
16, Hen suyễn,2015,92700000,8180.52,8.82,255296.7,275.4
17, Dị tật bẩm sinh,2015,92700000,7850.33,8.47,759819.6,819.65
18, Tự làm hại bản thân,2015,92700000,7100.14,7.66,317570,342.58
19, Ung thư ruột kết và trực tràng,2015,92700000,7038.31,7.59,188059.3,202.87
20, Ung thư miệng và vòm họng,2015,92700000,6332.99,6.83,197735.9,213.31
21,HIV/AIDS,2015,92700000,5906,6.37,319284.6,344.43
22, Đuối nước,2015,92700000,5353.01,5.77,298841.7,322.38
23, Ung thư vú,2015,92700000,5327.68,5.75,191542.5,206.63
24," Bệnh cơ tim, viêm cơ tim, viêm nội tâm mạc",2015,92700000,4954.41,5.34,120272.4,129.74
25, Bệnh tiêu chảy,2015,92700000,4941.7,5.33,336990.7,363.53
26, bệnh Parkinson,2015,92700000,4888.8,5.27,77400.79,83.5
27, Bệnh bạch cầu,2015,92700000,4768.98,5.14,234463.9,252.93
28, Ung thư não và hệ thần kinh,2015,92700000,2954.37,3.19,134976.6,145.61
