date,pm25,pm10,o3,no2,so2,co,aqi
1/1/2014,82.3,0,0,40,6,28,82.3
1/2/2014,57.9,0,22,39,8,43,57.9
1/3/2014,71.9,0,69,25,12,28,71.9
1/4/2014,99.9,0,24,0,0,0,99.9
1/5/2014,94.8,0,0,35,5,33,94.8
1/6/2014,124.1,0,65,30,3,27,124.1
1/7/2014,114.4,0,46,28,10,27,114.4
1/8/2014,203.8,0,20,23,7,22,203.8
1/9/2014,137.1,0,29,32,12,32,137.1
1/10/2014,50,0,21,20,6,25,50
1/11/2014,80.2,0,17,17,5,20,80.2
1/12/2014,121.5,0,19,17,6,17,121.5
1/13/2014,41.4,0,32,27,9,21,41.4
1/14/2014,40.5,0,93,35,11,22,93
1/15/2014,29.5,0,96,37,10,23,96
1/16/2014,20.4,0,104,29,6,28,104
1/17/2014,232.7,0,54,36,9,31,232.7
1/18/2014,208,0,65,35,16,28,208
1/19/2014,105.9,0,66,0,0,0,105.9
1/20/2014,60.9,0,0,57,22,39,60.9
1/21/2014,56.7,0,0,41,13,28,56.7
1/22/2014,116.1,0,55,47,10,30,116.1
1/23/2014,51.6,0,33,34,2,24,51.6
1/24/2014,195.5,0,35,31,3,26,195.5
1/25/2014,111,0,19,29,5,26,111
1/26/2014,142.7,0,17,34,4,29,142.7
1/27/2014,206.2,0,23,29,3,24,206.2
1/28/2014,55.9,0,23,28,3,25,55.9
1/29/2014,177.1,0,18,22,3,23,177.1
1/30/2014,148.8,0,27,15,2,16,148.8
1/31/2014,231,0,34,16,2,13,231
2/1/2014,31.2,0,21,18,2,14,31.2
2/2/2014,28.3,0,20,20,2,14,28.3
2/3/2014,35.2,0,20,17,2,13,35.2
2/4/2014,33,0,23,15,2,14,33
2/5/2014,58.4,0,17,17,2,18,58.4
2/6/2014,63.7,0,19,17,2,20,63.7
2/7/2014,125.7,0,15,16,2,19,125.7
2/8/2014,76.4,0,10,14,2,17,76.4
2/9/2014,106.4,0,12,15,1,15,106.4
2/10/2014,134.4,0,19,14,1,14,134.4
2/11/2014,183.5,0,23,27,1,23,183.5
2/12/2014,109.8,0,14,18,4,16,109.8
2/13/2014,54.2,0,25,27,7,18,54.2
2/14/2014,159.9,0,29,37,8,24,159.9
2/15/2014,61.8,0,18,24,3,21,61.8
2/16/2014,55.8,0,20,26,1,31,55.8
2/17/2014,105.5,0,13,16,1,30,105.5
2/18/2014,84.7,0,14,18,2,19,84.7
2/19/2014,54.9,0,24,28,2,19,54.9
2/20/2014,67.5,0,36,38,4,27,67.5
2/21/2014,35.7,0,17,26,4,26,35.7
2/22/2014,165.3,0,8,21,3,28,165.3
2/23/2014,68.3,0,3,29,2,27,68.3
2/24/2014,57.6,0,9,27,1,25,57.6
2/25/2014,97.9,0,8,27,2,22,97.9
2/26/2014,101.3,0,1,30,2,30,101.3
2/27/2014,63.7,0,3,22,1,25,63.7
2/28/2014,61.2,0,10,17,0,14,61.2
3/1/2014,68,0,3,30,2,26,68
3/2/2014,46.2,0,5,25,2,30,46.2
3/3/2014,70.3,0,7,21,2,25,70.3
3/4/2014,82.6,0,4,23,2,26,82.6
3/5/2014,105.4,0,6,28,2,36,105.4
3/6/2014,100.6,0,3,18,2,29,100.6
3/7/2014,102.4,0,1,16,2,25,102.4
3/8/2014,58.9,0,1,16,1,15,58.9
