Địa điểm trạm đo,Tỉnh,latitude,longitude,Loại đô thị
Phạm Văn Đồng,Hà Nội,21.05121,105.7823,Loại đặc biệt
Mỹ Đình,Hà Nội,21.01994,105.7706,Loại đặc biệt
Bắc Từ Liêm,Hà Nội,21.04975,105.7419,Loại đặc biệt
Nam Từ Liêm,Hà Nội,21.00577,105.7484,Loại đặc biệt
Cầu Giấy,Hà Nội,21.01525,105.8001,Loại đặc biệt
Láng Hạ,Hà Nội,21.02151,105.8189,Loại đặc biệt
Đống Đa,Hà Nội,21.0072,105.8357,Loại đặc biệt
Hoàn Kiếm,Hà Nội,21.03982,105.8473,Loại đặc biệt
Hoàng Mai,Hà Nội,20.98832,105.8549,Loại đặc biệt
Ba Đình,Hà Nội,21.04037,105.841,Loại đặc biệt
Bến Lức ,Long An,10.70246,106.4669,Loại IV
Lương Tài,Bắc Ninh,21.0015,106.1744,Loại V
Chí Linh,Hải Dương,21.14431,106.3385,Loại I
Tràng  Định,Lạng Sơn,22.31416,106.5055,Loại V
Hải Châu,Đà Nẵng,16.04757,108.2043,Loại I
Gia Bình,Bắc Ninh,21.05076,106.1452,Loại I
Tiên Du,Bắc Ninh,21.0914,105.9909,Loại I
Hữu Lũng,Lạng Sơn,21.5373,106.3611,Loại V
Pleiku,Gia Lai,13.93786,107.9809,Loại I
Hạ Long,Quảng Ninh,20.98373,106.9673,Loại I
Long Biên,Hà Nội,21.04266,105.8915,Loại đặc biệt
Quận 5,Hồ Chí Minh,10.75339,106.6701,Loại đặc biệt
Cao Lộc,Lạng Sơn,21.93875,106.6663,Loại V
Kinh Môn,Hải Dương,21.0377,106.464,Loại I
Cẩm Giàng,Hải Dương,20.93706,106.2551,Loại I
Bảo Thắng,Lào Cai,22.33039,104.1272,Loại V
Quảng Yên,Quảng Ninh,20.99767,106.861,Loại II
Vinh,Nghệ An,19.349,104.5719,Loại I
Nha Trang,Khánh Hòa,12.3438,109.1558,Loại I
Nho Quan,Ninh Bình,20.27603,105.694,Loại IV
Ninh Kiều,Cần Thơ,10.0255,105.7669,Loại I
Chí Linh,Bắc Ninh,21.12219,106.2889,Loại IV
Quế Võ,Bắc Ninh,21.16197,106.1514,Loại IV
Tân Bình,Hải Dương,20.93295,106.3078,Loại I
Tây Hồ,Hà Nội,21.06468,105.8297,Loại đặc biệt
Hòa Thành,Tây Ninh,11.26063,106.1228,Loại IV
Thái Nguyên,Thái Nguyên,21.578,105.7812,Loại I
Huế,Huế,16.46253,107.5924,Loại I
Thuận Thành,Bắc Ninh,21.04409,106.063,Loại IV
Từ Sơn,Bắc Ninh,21.13111,105.977,Loại III
Sơn La,Sơn La,21.3316,103.912,Loại III
Duyên Hải,Trà Vinh,9.5858,106.5141,Loại IV
Cao Bằng,Cao Bằng,22.66509,106.2507,Loại III
Tràng Bàng,Tây Ninh,11.06181,106.3792,Loại IV
Uông Bí,Quảng Ninh,21.08191,106.7551,Loại II
Việt Trì,Phú Thọ,21.33989,105.329,Loại I
Long Hồ,Vĩnh Long,10.16002,105.9382,Loại V
Vũng Tàu,Bà Rịa Vũng Tàu,10.40265,107.1285,Loại I
